Method,Round,Client,Staleness,Malicious,DirectionScore,NormScore,MaxSimilarity,SimilarityScore,ConsensusVotes,InstantTrust,UpdatedTrust,UpdateNorm,PoisonRatio,AttackType,Accepted,Probation,AggregationWeight,ClipCap,EffectiveThreshold
AgriTrust-ACFL,3,8,1,False,0.7712218761444092,0.796237667080436,0.89333575963974,1.0,9.0,0.7791383265317318,0.5991225518297765,1.4383091926574707,0.0,none,True,False,10049.349864299002,2.921379506587982,0.5502013112196018
AgriTrust-ACFL,3,9,0,False,0.6178627237677574,0.5811298733647127,0.6777230501174927,1.0,9.0,0.6261356070758506,0.7292075825372472,0.7124784588813782,0.0,none,True,False,791.9194346354504,2.921379506587982,0.5502013112196018
AgriTrust-ACFL,4,2,1,False,0.5777128115296364,0.7850016214500056,0.17873990535736084,1.0,7.0,0.6813632960463534,0.7167464466216881,0.7719432711601257,0.0,none,True,False,5621.774874584531,1.5655423700809479,0.5477922704256785
AgriTrust-ACFL,4,3,0,False,0.744187980890274,1.0,0.6467586159706116,1.0,7.0,0.8256587364637782,0.683959283147369,0.6262169480323792,0.0,none,True,False,17992.232902474687,1.5655423700809479,0.5477922704256785
AgriTrust-ACFL,4,4,0,False,0.40649423748254776,0.6703208216241814,0.17873990535736084,1.0,7.0,0.5364742236485965,0.6397720031015912,0.44318556785583496,0.0,none,True,False,492.62444238822525,1.5655423700809479,0.5477922704256785
AgriTrust-ACFL,4,5,0,False,0.7407770454883575,0.371939158662404,0.34220725297927856,1.0,7.0,0.617720528645397,0.5729859873608764,0.2663760483264923,0.0,none,True,False,264.146540173364,1.5655423700809479,0.5477922704256785
AgriTrust-ACFL,4,6,1,False,0.7410452961921692,0.9513959599031562,0.36194613575935364,1.0,7.0,0.8219249093386319,0.72070658928994,0.5998229384422302,0.0,none,True,False,472.4100090815132,1.5655423700809479,0.5477922704256785
AgriTrust-ACFL,4,7,2,False,0.7999458014965057,0.35374468834322015,0.36194613575935364,1.0,7.0,0.6467755658669855,0.7442205687254101,1.537375807762146,0.0,none,True,False,2830.915121797724,1.5655423700809479,0.5477922704256785
AgriTrust-ACFL,4,8,2,False,0.7354722023010254,0.37776995931894597,0.6467586159706116,1.0,7.0,0.6069218682379062,0.6010723809318089,1.4524990320205688,0.0,none,True,False,6428.602233046696,1.5655423700809479,0.5477922704256785
AgriTrust-ACFL,5,0,3,False,0.6042160168290138,0.7045862389356243,0.45254766941070557,1.0,8.0,0.6651219780350419,0.7047123264092049,1.0743579864501953,0.0,none,True,False,1348.6161565931254,1.7932891100645065,0.5382108500751731
AgriTrust-ACFL,5,2,0,False,0.6639977693557739,0.4142325300618843,0.43570107221603394,1.0,8.0,0.6072127349339111,0.6893630186997438,1.9843480587005615,0.0,none,True,False,8479.854493025548,1.7932891100645065,0.5382108500751731
AgriTrust-ACFL,5,3,3,False,0.3939707726240158,0.5144534790475209,0.4428982734680176,1.0,8.0,0.47674281563218046,0.6321551662685718,1.5449740886688232,0.0,none,True,False,4311.029123316964,1.7932891100645065,0.5382108500751731
AgriTrust-ACFL,5,4,1,False,0.666037917137146,0.655609907393644,0.43570107221603394,1.0,8.0,0.6992012688554979,0.6546293195400679,0.44025737047195435,0.0,none,True,False,321.40576392212955,1.7932891100645065,0.5382108500751731
AgriTrust-ACFL,5,5,1,False,0.670053631067276,0.41245463106113955,0.09713414311408997,1.0,8.0,0.6029696393679856,0.5804819003626537,0.25776350498199463,0.0,none,True,False,170.63066814311944,1.7932891100645065,0.5382108500751731
AgriTrust-ACFL,5,6,4,False,0.6732198297977448,0.9733228681005439,0.45254766941070557,1.0,8.0,0.7850051561817288,0.7367812310128872,0.7397123575210571,0.0,none,True,False,125.1992136627331,1.7932891100645065,0.5382108500751731
AgriTrust-ACFL,5,8,0,False,0.48993100970983505,0.6853614276497956,0.4428982734680176,1.0,8.0,0.5803676864034046,0.5958962072997078,0.4634150266647339,0.0,none,True,False,15675.645629226114,1.7932891100645065,0.5382108500751731
AgriTrust-ACFL,5,9,2,False,0.5164523050189018,0.9733228681005439,0.3219667673110962,1.0,8.0,0.6622768031526982,0.71247488769111,0.6949189305305481,0.0,none,True,False,314.58235051125365,1.7932891100645065,0.5382108500751731
AgriTrust-ACFL,6,0,0,False,0.8436952829360962,0.6630499444205342,0.8935580253601074,1.0,7.0,0.7847499336606469,0.7247217282220655,1.7432985305786133,0.0,none,True,False,5349.8957977352875,2.299174517393112,0.5717840222323223
AgriTrust-ACFL,6,1,4,False,0.4131200760602951,1.0,0.22710761427879333,1.0,7.0,0.5885523005452589,0.6947031194480332,0.9196698069572449,0.0,none,True,False,2322.855138726411,2.299174517393112,0.5717840222323223
AgriTrust-ACFL,6,2,0,False,0.8471821546554565,0.6703204767306776,0.8935580253601074,1.0,7.0,0.8021359022459694,0.7175562395863002,1.713958978652954,0.0,none,True,False,8826.659303151078,2.299174517393112,0.5717840222323223
AgriTrust-ACFL,6,5,1,False,0.746298685669899,0.46407514467169725,0.36357206106185913,1.0,7.0,0.6628279203931424,0.601068405370276,0.27843281626701355,0.0,none,True,False,176.68200084098257,2.299174517393112,0.5717840222323223
AgriTrust-ACFL,6,6,0,False,0.7928375005722046,0.8858062234279895,0.3243974447250366,1.0,7.0,0.8349530501614856,0.7613241858000368,0.7615029215812683,0.0,none,True,False,782.6412630024379,2.299174517393112,0.5717840222323223
AgriTrust-ACFL,6,7,4,False,0.5104585941880941,0.7114570117793972,0.11989836394786835,1.0,7.0,0.6229973534686992,0.7139147649112323,1.5622233152389526,0.0,none,True,False,1104.0951691484477,2.299174517393112,0.5717840222323223
AgriTrust-ACFL,6,8,1,False,0.4141151085495949,0.6184250498059004,0.22710761427879333,1.0,7.0,0.5130454365253447,0.575183514606117,0.4353090226650238,0.0,none,True,False,9647.809712388009,2.299174517393112,0.5717840222323223
AgriTrust-ACFL,7,0,0,False,0.7667893767356873,0.7684891848151284,0.7088412046432495,1.0,8.0,0.7782667909702503,0.7381079939091117,0.9807928800582886,0.0,none,True,False,5448.713211037063,1.8644656240940094,0.5619478686524854
