Method,Round,Client,Staleness,Malicious,DirectionScore,NormScore,MaxSimilarity,SimilarityScore,ConsensusVotes,InstantTrust,UpdatedTrust,UpdateNorm,Accepted,Probation,AggregationWeight,ClipCap,EffectiveThreshold,TrustUpdate,UsedForCalibration
AgriTrust-ACFL,3,5,1,False,0.7261693626642227,0.49909663209497696,0.43726903200149536,1.0,8,0.6673421834699143,0.3388117788713894,0.29249078035354614,True,False,99.592562950656,2.2687631845474243,0.0,asymmetric,True
AgriTrust-ACFL,3,6,1,False,0.6035863384604454,0.910701367121624,0.16550476849079132,1.0,8,0.7246505125004558,0.4471870368246439,0.7721344232559204,True,False,293.1229369438676,2.2687631845474243,0.0,asymmetric,True
AgriTrust-ACFL,3,7,0,False,0.7913128435611725,0.6199161358824794,0.37986332178115845,1.0,8,0.7607723445890672,0.7972005808847864,1.9429056644439697,True,False,7458.608634758061,2.2687631845474243,0.0,asymmetric,True
AgriTrust-ACFL,3,8,0,False,0.5417494177818298,0.9137503298687307,0.24818748235702515,1.0,8,0.6686371904033002,0.711479832481914,1.0386993885040283,True,False,18716.18847326923,2.2687631845474243,0.0,asymmetric,True
AgriTrust-ACFL,3,9,0,False,0.6866271495819092,0.9137503298687307,0.3901352286338806,1.0,8,0.7600473392340579,0.5846099730441485,0.7763111591339111,True,False,634.8864307259453,2.2687631845474243,0.0,asymmetric,True
AgriTrust-ACFL,4,1,3,False,0.7055384516716003,0.5898430427932994,0.4206185042858124,1.0,8,0.6742957353176547,0.7065674668968354,3.0951318740844727,True,False,3705.1776130612097,3.393884152173996,0.0,asymmetric,True
AgriTrust-ACFL,4,2,0,False,0.7590174674987793,0.7306227327086635,0.37282252311706543,1.0,8,0.7748584932879711,0.7419602065217035,2.1252377033233643,True,False,9126.852500423474,3.393884152173996,0.0,asymmetric,True
AgriTrust-ACFL,4,3,3,False,0.4352976977825165,0.6090442081930663,0.4206185042858124,1.0,8,0.5297881879633758,0.6275994618323417,2.9257898330688477,True,False,4279.961158440966,3.393884152173996,0.0,asymmetric,True
AgriTrust-ACFL,4,4,0,False,0.8077963590621948,0.6149952029163196,0.6826874613761902,1.0,8,0.7627139494977175,0.48494600325100906,0.5213907361030579,True,False,373.408422503277,3.393884152173996,0.0,asymmetric,True
AgriTrust-ACFL,4,5,0,False,0.7284320145845413,0.4301960150331761,0.5063736438751221,1.0,8,0.6393463758458384,0.38389196841755674,0.2783277630805969,True,False,176.97419744049367,3.393884152173996,0.0,asymmetric,True
AgriTrust-ACFL,4,6,0,False,0.5976692885160446,0.756115996325097,0.33158230781555176,1.0,8,0.6816150658912861,0.48235124118464023,0.7494524717330933,True,False,495.8570759378102,3.393884152173996,0.0,asymmetric,True
AgriTrust-ACFL,4,7,1,False,0.7325304299592972,0.7687757619195571,0.5063736438751221,1.0,8,0.7777810181874399,0.7942876464801845,1.9434754848480225,True,False,4738.4412932722125,3.393884152173996,0.0,asymmetric,True
AgriTrust-ACFL,4,9,2,False,0.8199735283851624,0.7687757619195571,0.6826874613761902,1.0,8,0.7956565766826375,0.6162669635899218,0.7716318368911743,True,False,272.1032183699936,3.393884152173996,0.0,asymmetric,True
AgriTrust-ACFL,5,0,2,False,0.6841417253017426,0.5122904114197756,0.6096078157424927,1.0,8,0.6472179217526506,0.6672710721622129,2.0547256469726562,True,False,2002.6788193418968,2.8300032764673233,0.0,asymmetric,True
AgriTrust-ACFL,5,1,0,False,0.7184629738330841,0.695352218092926,0.3666444420814514,1.0,8,0.7155285466195753,0.7079116288552464,1.5518394708633423,True,False,14319.636428483924,2.8300032764673233,0.0,asymmetric,True
AgriTrust-ACFL,5,2,0,False,0.7688674330711365,0.7305252148686853,0.6096078157424927,1.0,8,0.7803417425945619,0.7477174369326323,1.483056664466858,True,False,9197.672191708309,2.8300032764673233,0.0,asymmetric,True
AgriTrust-ACFL,5,3,1,False,0.5936301425099373,0.8112235715219449,0.7168797850608826,1.0,8,0.6847799883995539,0.6361765408174235,0.917057454586029,True,False,10670.872953469154,2.8300032764673233,0.0,asymmetric,True
