Method,Round,SelectedClients,MeanStaleness,ValMacroF1,MeanLocalLoss
FedProx,12,10,0.0,0.5278072994228068,0.4839958700122332
FedProx,13,10,0.0,0.5148748598857086,0.4861965304404065
FedProx,14,10,0.0,0.5529764837840287,0.4926781738877951
FedProx,15,10,0.0,0.5633665872890324,0.4964333214192327
FedProx,16,10,0.0,0.5639467038991661,0.4651822700691529
FedProx,17,10,0.0,0.549793674229022,0.48458276457193944
FedProx,18,10,0.0,0.5622069223164393,0.5056361430482518
FedProx,19,10,0.0,0.5603157239333156,0.49425822407882763
FedProx,20,10,0.0,0.5572570515326335,0.5054792936748921
FedProx,21,10,0.0,0.5662534571405166,0.47708627350952365
FedProx,22,10,0.0,0.5655701650338144,0.4797116796512766
FedProx,23,10,0.0,0.5659082476557366,0.503089194850114
FedProx,24,10,0.0,0.5723377403839192,0.4902260219871006
FedProx,25,10,0.0,0.5705363230691451,0.44768266783786775
FedProx,26,10,0.0,0.572249781163745,0.4391868536350835
FedProx,27,10,0.0,0.5715270443798465,0.5051514510073353
FedProx,28,10,0.0,0.5814607908770147,0.4776416228362675
FedProx,29,10,0.0,0.5817828229664884,0.43177074485694134
FedProx,30,10,0.0,0.5805561310359889,0.44364557786790426
FedProx,31,10,0.0,0.5861713174943057,0.44807386705402186
FedProx,32,10,0.0,0.5907395065956625,0.43609240584889986
FedProx,33,10,0.0,0.5851794286379935,0.417739556059151
FedProx,34,10,0.0,0.5924861444383255,0.43772239037325306
FedProx,35,10,0.0,0.5999936421956166,0.44750885019603254
FedProx,36,10,0.0,0.6023306448069017,0.3972227081907752
FedProx,37,10,0.0,0.6034890862019545,0.4120437000139498
FedProx,38,10,0.0,0.6008487935764203,0.4138420355054541
FedProx,39,10,0.0,0.6014211881313308,0.4173744825754121
FedProx,40,10,0.0,0.6086390456092526,0.43453007387508197
Async-Stale,1,8,0.0,0.24399028293580757,0.8898635085292415
Async-Stale,2,8,0.875,0.41110830279394395,0.7958975763873777
Async-Stale,3,10,1.0,0.25581265737153286,1.0169696644534774
Async-Stale,4,7,0.42857142857142855,0.43503507512578204,0.7669734294631586
Async-Stale,5,9,1.5555555555555556,0.40940540738817727,0.6807486210535986
Async-Stale,6,7,1.1428571428571428,0.5102070240742475,0.7804387898292303
Async-Stale,7,7,1.2857142857142858,0.5076801442678142,0.48011615730705676
Async-Stale,8,9,1.1111111111111112,0.49798628657355976,0.7153316505953784
Async-Stale,9,8,1.0,0.5487479295336447,0.4769262187518933
Async-Stale,10,9,1.8888888888888888,0.5639639565261857,0.6415082131246255
Async-Stale,11,8,1.25,0.44350265935321126,0.49301793852437736
Async-Stale,12,9,0.7777777777777778,0.5811089142062872,0.5746361722400841
Async-Stale,13,7,1.0,0.4885578556849817,0.5356423589428863
Async-Stale,14,9,1.7777777777777777,0.5413099838452604,0.7335845235433334
Async-Stale,15,9,1.5555555555555556,0.6364578013792849,0.4260561582901385
Async-Stale,16,8,1.5,0.4867312233612111,0.49175918010055475
Async-Stale,17,8,0.75,0.5895600947102736,0.49077088835229327
Async-Stale,18,10,1.7,0.5751205603949062,0.4502524715944487
